At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""104""","=""Rf XCVII""","=""+96""","=""Rutherfordium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""34100""","="")""","=""400""","=""L8672c99""",
"=""104""","=""Rf XCVIII""","=""+97""","=""Rutherfordium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""34600""","="")""","=""400""","=""L8672c99""",
"=""104""","=""Rf XCIX""","=""+98""","=""Rutherfordium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""42700""","="")""","=""500""","=""L8672c99""",
"=""104""","=""Rf C""","=""+99""","=""Rutherfordium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""43400""","="")""","=""500""","=""L8672c99""",
"=""104""","=""Rf CI""","=""+100""","=""Rutherfordium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""44300""","="")""","=""500""","=""L8672c99""",
"=""104""","=""Rf CII""","=""+101""","=""Rutherfordium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""104""","=""Rf CIII""","=""+102""","=""Rutherfordium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""174265""","="")""","=""9""","=""u52""",
"=""104""","=""Rf CIV""","=""+103""","=""Rutherfordium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""177142""","="")""","=""9""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
     [Rn] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6.4f14.5d10.6s2.6p6
(b) If the listed ionization energy is blank, it is unknown. Only the ground state is known.
(c) Uncertainties of some of the listed values are unknown. 
