At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""109""","=""Mt XVIII""","=""+17""","=""Meitnerium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""406""","="")""","=""3""","=""L8672c99""",
"=""109""","=""Mt XIX""","=""+18""","=""Meitnerium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""445""","="")""","=""3""","=""L8672c99""",
"=""109""","=""Mt XX""","=""+19""","=""Meitnerium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt XXXII""","=""+31""","=""Meitnerium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""1035""","="")""","=""4""","=""L8672c99""",
"=""109""","=""Mt XXXIII""","=""+32""","=""Meitnerium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""1072""","="")""","=""4""","=""L8672c99""",
"=""109""","=""Mt XXXIV""","=""+33""","=""Meitnerium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""1112""","="")""","=""5""","=""L8672c99""",
"=""109""","=""Mt XXXV""","=""+34""","=""Meitnerium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""1154""","="")""","=""5""","=""L8672c99""",
"=""109""","=""Mt XXXVI""","=""+35""","=""Meitnerium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""1195""","="")""","=""5""","=""L8672c99""",
"=""109""","=""Mt XXXVII""","=""+36""","=""Meitnerium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""1234""","="")""","=""5""","=""L8672c98,c99""",
"=""109""","=""Mt XXXVIII""","=""+37""","=""Meitnerium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""1311""","="")""","=""4""","=""L8672c98,c99""",
"=""109""","=""Mt XXXIX""","=""+38""","=""Meitnerium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""1352""","="")""","=""4""","=""L8672c99""",
"=""109""","=""Mt XL""","=""+39""","=""Meitnerium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""1397""","="")""","=""4""","=""L8672c99""",
"=""109""","=""Mt XLI""","=""+40""","=""Meitnerium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""(""","=""1439""","="")""","=""4""","=""L8672c99""",
"=""109""","=""Mt XLII""","=""+41""","=""Meitnerium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt XLIII""","=""+42""","=""Meitnerium""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt XLIV""","=""+43""","=""Meitnerium""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt XLV""","=""+44""","=""Meitnerium""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt XLVI""","=""+45""","=""Meitnerium""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt XLVII""","=""+46""","=""Meitnerium""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt XLVIII""","=""+47""","=""Meitnerium""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f14.5s 2S<1/2>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt XLIX""","=""+48""","=""Meitnerium""","=""Pm""","=""[Kr].4d10.4f14.5s""","=""2S<1/2>""","=""4f14 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt L""","=""+49""","=""Meitnerium""","=""Nd""","=""[Kr].4d10.4f14""","=""1S0""","=""4f13 2F*<7/2>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt LI""","=""+50""","=""Meitnerium""","=""Pr""","=""[Kr].4d10.4f13""","=""2F*<7/2>""","=""4f12""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt LII""","=""+51""","=""Meitnerium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt LIII""","=""+52""","=""Meitnerium""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""""","=""""","=""""","=""""","=""""",
"=""109""","=""Mt LIV""","=""+53""","=""Meitnerium""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""""","=""""","=""""","=""""","=""""",
