At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""107""","=""Bh LXV""","=""+64""","=""Bohrium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""4486""","="")""","=""24""","=""L8672c99""",
"=""107""","=""Bh LXVI""","=""+65""","=""Bohrium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d-4.4d+ (0,5/2)<5/2>""","=""(""","=""4580""","="")""","=""30""","=""L8672c99""",
"=""107""","=""Bh LXVII""","=""+66""","=""Bohrium""","=""Nb""","=""[Kr].4d5""","=""(0,5/2)<5/2>""","=""4d4 5D<0>""","=""(""","=""4660""","="")""","=""40""","=""L8672c99""",
"=""107""","=""Bh LXVIII""","=""+67""","=""Bohrium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""4890""","="")""","=""40""","=""L8672c99""",
"=""107""","=""Bh LXIX""","=""+68""","=""Bohrium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""4980""","="")""","=""50""","=""L8672c99""",
"=""107""","=""Bh LXX""","=""+69""","=""Bohrium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""5080""","="")""","=""50""","=""L8672c99""",
"=""107""","=""Bh LXXI""","=""+70""","=""Bohrium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""5170""","="")""","=""60""","=""L8672c99""",
"=""107""","=""Bh LXXII""","=""+71""","=""Bohrium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""5550""","="")""","=""60""","=""L8672c99""",
"=""107""","=""Bh LXXIII""","=""+72""","=""Bohrium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""5640""","="")""","=""70""","=""L8672c99""",
"=""107""","=""Bh LXXIV""","=""+73""","=""Bohrium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p-2.4p+ (0,3/2)*<3/2>""","=""(""","=""5740""","="")""","=""90""","=""L8672c99""",
