At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""106""","=""Sg LXIX""","=""+68""","=""Seaborgium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""4940""","="")""","=""50""","=""L8672c99""",
"=""106""","=""Sg LXX""","=""+69""","=""Seaborgium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""5030""","="")""","=""50""","=""L8672c99""",
"=""106""","=""Sg LXXI""","=""+70""","=""Seaborgium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""5410""","="")""","=""60""","=""L8672c99""",
"=""106""","=""Sg LXXII""","=""+71""","=""Seaborgium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""5490""","="")""","=""60""","=""L8672c99""",
"=""106""","=""Sg LXXIII""","=""+72""","=""Seaborgium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p-2.4p+ (0,3/2)*<3/2>""","=""(""","=""5590""","="")""","=""70""","=""L8672c99""",
"=""106""","=""Sg LXXIV""","=""+73""","=""Seaborgium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""(0,3/2)*<3/2>""","=""4p2 3P<0>""","=""(""","=""5680""","="")""","=""90""","=""L8672c99""",
"=""106""","=""Sg LXXV""","=""+74""","=""Seaborgium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""6460""","="")""","=""90""","=""L8672c99""",
"=""106""","=""Sg LXXVI""","=""+75""","=""Seaborgium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""6570""","="")""","=""100""","=""L8672c99""",
"=""106""","=""Sg LXXVII""","=""+76""","=""Seaborgium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""6840""","="")""","=""110""","=""L8672c99""",
"=""106""","=""Sg LXXVIII""","=""+77""","=""Seaborgium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""(""","=""6950""","="")""","=""120""","=""L8672c99""",
"=""106""","=""Sg LXXIX""","=""+78""","=""Seaborgium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""10680""","="")""","=""120""","=""L8672c99""",
"=""106""","=""Sg LXXX""","=""+79""","=""Seaborgium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""10870""","="")""","=""140""","=""L8672c99""",
"=""106""","=""Sg LXXXI""","=""+80""","=""Seaborgium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""11080""","="")""","=""150""","=""L8672c99""",
"=""106""","=""Sg LXXXII""","=""+81""","=""Seaborgium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""11300""","="")""","=""160""","=""L8672c99""",
"=""106""","=""Sg LXXXIII""","=""+82""","=""Seaborgium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""11510""","="")""","=""170""","=""L8672c99""",
"=""106""","=""Sg LXXXIV""","=""+83""","=""Seaborgium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""11710""","="")""","=""190""","=""L8672c99""",
"=""106""","=""Sg LXXXV""","=""+84""","=""Seaborgium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""12320""","="")""","=""200""","=""L8672c99""",
"=""106""","=""Sg LXXXVI""","=""+85""","=""Seaborgium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""12540""","="")""","=""220""","=""L8672c99""",
"=""106""","=""Sg LXXXVII""","=""+86""","=""Seaborgium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""12780""","="")""","=""240""","=""L8672c99""",
"=""106""","=""Sg LXXXVIII""","=""+87""","=""Seaborgium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""12990""","="")""","=""250""","=""L8672c99""",
"=""106""","=""Sg LXXXIX""","=""+88""","=""Seaborgium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""13600""","="")""","=""300""","=""L8672c99""",
"=""106""","=""Sg XC""","=""+89""","=""Seaborgium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""13800""","="")""","=""300""","=""L8672c99""",
"=""106""","=""Sg XCI""","=""+90""","=""Seaborgium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""14000""","="")""","=""300""","=""L8672c99""",
"=""106""","=""Sg XCII""","=""+91""","=""Seaborgium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""14200""","="")""","=""300""","=""L8672c99""",
"=""106""","=""Sg XCIII""","=""+92""","=""Seaborgium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""16600""","="")""","=""400""","=""L8672c99""",
"=""106""","=""Sg XCIV""","=""+93""","=""Seaborgium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""16800""","="")""","=""400""","=""L8672c99""",
"=""106""","=""Sg XCV""","=""+94""","=""Seaborgium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""17300""","="")""","=""400""","=""L8672c99""",
"=""106""","=""Sg XCVI""","=""+95""","=""Seaborgium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""17500""","="")""","=""400""","=""L8672c99""",
"=""106""","=""Sg XCVII""","=""+96""","=""Seaborgium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""34500""","="")""","=""400""","=""L8672c99""",
"=""106""","=""Sg XCVIII""","=""+97""","=""Seaborgium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""35000""","="")""","=""400""","=""L8672c99""",
"=""106""","=""Sg XCIX""","=""+98""","=""Seaborgium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""35600""","="")""","=""500""","=""L8672c99""",
"=""106""","=""Sg C""","=""+99""","=""Seaborgium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""36100""","="")""","=""500""","=""L8672c99""",
"=""106""","=""Sg CI""","=""+100""","=""Seaborgium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""44900""","="")""","=""500""","=""L8672c99""",
"=""106""","=""Sg CII""","=""+101""","=""Seaborgium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""45700""","="")""","=""500""","=""L8672c99""",
"=""106""","=""Sg CIII""","=""+102""","=""Seaborgium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""46600""","="")""","=""500""","=""L8672c99""",
"=""106""","=""Sg CIV""","=""+103""","=""Seaborgium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""106""","=""Sg CV""","=""+104""","=""Seaborgium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""182833""","="")""","=""11""","=""u52""",
"=""106""","=""Sg CVI""","=""+105""","=""Seaborgium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""185835""","="")""","=""11""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
     [Rn] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6.4f14.5d10.6s2.6p6
(b) If the listed ionization energy is blank, it is unknown. Only the ground state is known.
(c) Uncertainties of some of the listed values are unknown. 
