At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""110""","=""Ds LXXXVII""","=""+86""","=""Darmstadtium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""12600""","="")""","=""240""","=""L8672c99""",
"=""110""","=""Ds LXXXVIII""","=""+87""","=""Darmstadtium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""12810""","="")""","=""250""","=""L8672c99""",
"=""110""","=""Ds LXXXIX""","=""+88""","=""Darmstadtium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""13500""","="")""","=""300""","=""L8672c99""",
"=""110""","=""Ds XC""","=""+89""","=""Darmstadtium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""13700""","="")""","=""300""","=""L8672c99""",
"=""110""","=""Ds XCI""","=""+90""","=""Darmstadtium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""14000""","="")""","=""300""","=""L8672c99""",
"=""110""","=""Ds XCII""","=""+91""","=""Darmstadtium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""14200""","="")""","=""300""","=""L8672c99""",
"=""110""","=""Ds XCIII""","=""+92""","=""Darmstadtium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""14800""","="")""","=""400""","=""L8672c99""",
"=""110""","=""Ds XCIV""","=""+93""","=""Darmstadtium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""15000""","="")""","=""400""","=""L8672c99""",
"=""110""","=""Ds XCV""","=""+94""","=""Darmstadtium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""15300""","="")""","=""400""","=""L8672c99""",
"=""110""","=""Ds XCVI""","=""+95""","=""Darmstadtium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""15500""","="")""","=""400""","=""L8672c99""",
"=""110""","=""Ds XCVII""","=""+96""","=""Darmstadtium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""18400""","="")""","=""400""","=""L8672c99""",
"=""110""","=""Ds XCVIII""","=""+97""","=""Darmstadtium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""18600""","="")""","=""400""","=""L8672c99""",
"=""110""","=""Ds XCIX""","=""+98""","=""Darmstadtium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""19100""","="")""","=""500""","=""L8672c99""",
"=""110""","=""Ds C""","=""+99""","=""Darmstadtium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""19400""","="")""","=""500""","=""L8672c99""",
"=""110""","=""Ds CI""","=""+100""","=""Darmstadtium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""37400""","="")""","=""500""","=""L8672c99""",
"=""110""","=""Ds CII""","=""+101""","=""Darmstadtium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""37900""","="")""","=""500""","=""L8672c99""",
"=""110""","=""Ds CIII""","=""+102""","=""Darmstadtium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""38500""","="")""","=""500""","=""L8672c99""",
"=""110""","=""Ds CIV""","=""+103""","=""Darmstadtium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""39100""","="")""","=""500""","=""L8672c99""",
"=""110""","=""Ds CV""","=""+104""","=""Darmstadtium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""49800""","="")""","=""600""","=""L8672c99""",
"=""110""","=""Ds CVI""","=""+105""","=""Darmstadtium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""50700""","="")""","=""600""","=""L8672c99""",
"=""110""","=""Ds CVII""","=""+106""","=""Darmstadtium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""51600""","="")""","=""600""","=""L8672c99""",
"=""110""","=""Ds CVIII""","=""+107""","=""Darmstadtium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""""","=""""","=""""","=""""","=""""",
"=""110""","=""Ds CIX""","=""+108""","=""Darmstadtium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""201112""","="")""","=""15""","=""u52""",
"=""110""","=""Ds CX""","=""+109""","=""Darmstadtium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""204394""","="")""","=""16""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
     [Rn] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6.4f14.5d10.6s2.6p6
(b) If the listed ionization energy is blank, it is unknown. Only the ground state is known.
(c) Uncertainties of some of the listed values are unknown. 
